timestamp,Infrared to Red Signal Ratio
04/03/25 14:40:32,0
04/03/25 14:41:32,0
04/03/25 14:42:32,0
04/03/25 14:43:32,0
04/03/25 14:44:32,0
04/03/25 14:45:32,0
04/03/25 14:46:32,0
04/03/25 14:47:32,0
04/03/25 14:48:32,0
04/03/25 14:49:32,0
04/03/25 14:50:32,0
04/03/25 14:51:32,0
04/03/25 14:52:32,0
04/03/25 14:53:32,0
04/03/25 14:54:32,0
04/03/25 14:55:32,0
04/03/25 14:56:32,0
04/03/25 14:57:32,0
04/03/25 14:58:32,0
04/03/25 14:59:32,0
04/03/25 15:00:32,0
04/03/25 15:01:32,0
04/03/25 15:02:32,0
04/03/25 15:03:32,0
04/03/25 15:04:32,0
04/03/25 15:05:32,0
04/03/25 15:06:32,0
04/03/25 15:07:32,0
04/03/25 15:08:32,0
04/03/25 15:09:32,0
04/03/25 15:10:32,0
04/03/25 15:11:32,0
04/03/25 15:12:32,0
04/03/25 15:13:32,0
04/03/25 15:14:32,0
04/03/25 15:15:32,0
04/03/25 15:16:32,0
04/03/25 15:17:32,0
04/03/25 15:18:32,0
04/03/25 15:19:32,0
04/03/25 15:20:32,0
04/03/25 15:21:32,0
04/03/25 15:22:32,0
04/03/25 15:23:32,0
04/03/25 15:24:32,0
04/03/25 15:25:32,0
04/03/25 15:26:32,0
04/03/25 15:27:32,0
04/03/25 15:28:32,0
04/03/25 15:29:32,0
04/03/25 15:30:32,0
04/03/25 15:31:32,0
04/03/25 15:32:32,0
04/03/25 15:33:32,0
04/03/25 15:34:32,0
04/03/25 15:35:32,0
04/03/25 15:36:32,0
04/03/25 15:37:32,0
04/03/25 15:38:32,0
04/03/25 15:39:32,0
04/03/25 15:40:32,0
04/03/25 15:41:32,0
04/03/25 15:42:32,0
04/03/25 15:43:32,0
04/03/25 15:44:32,0
04/03/25 15:45:32,0
04/03/25 15:46:32,0
04/03/25 15:47:32,0
04/03/25 15:48:32,0
04/03/25 15:49:32,0
04/03/25 15:50:32,0
04/03/25 15:51:32,0
04/03/25 15:52:32,0
